city,lat,long
Kyiv,50.4500336,30.5241361
Kharkiv,49.9902794,36.2303893
Odessa,46.4852419,30.7433894
Dnipro,51.9207486,30.8249802
Donetsk,48.0158753,37.8013407
Zaporizhia,47.8507859,35.1182867
Lviv,49.841952,24.0315921
Kryvyi Rih,47.9102734,33.3917703
Mykolaiv,46.9659195,32.0034948
Mariupol,47.1286047,37.5790940286384
Luhansk,48.5717084,39.2973153
Vinnytsia,49.2320162,28.467975
Makiivka,48.05663735,37.9377778357717
Sevastopol,44.6054434,33.5220842
Simferopol,44.9521457,34.1024858
Kherson,46.65086815,32.6023027991877
Poltava,49.5897423,34.5507948
Chernihiv,51.49300385,31.2986894526539
Cherkasy,49.4447888,32.0587805
Zhytomyr,50.2598298,28.6692345
Sumy,50.90091055,34.8087694703864
Khmelnytskyi,49.4196404,26.9793793
Chernivtsi,48.2864702,25.9376532
Horlivka,48.3085337,38.0627284678174
Rivne,50.6196175,26.2513165
Kamianske,47.54245,35.366169
Kropyvnytskyi,48.5105805,32.2656283
Ivano-Frankivsk,48.9225224,24.7103188
Kremenchuk,49.09285285,33.4308188490926
Ternopil,49.5557716,25.591886
Lutsk,50.7450733,25.320078
Bila Tserkva,49.8038191,30.1116924
Kramatorsk,48.72880905,37.5670952784668
Melitopol,46.8487478,35.3676448
Kerch,45.3534002,36.4538645
Nikopol,43.7070803,24.8996563
Sloviansk,48.8489051,37.5884405418391
Uzhhorod,48.61899345,22.2713948075913
Berdiansk,46.7611424,36.7893746
Alchevsk,48.4693266,38.803538
Pavlohrad,48.5317201,35.8703535
Yevpatoria,45.1907635,33.3679049
Lysychansk,48.8943809,38.4432589
Kamianets-Podilskyi,48.6784597,26.5852225
Brovary,50.5111168,30.7900482
Konotop,51.2397495,33.206675
Uman,21.0000287,57.0036901
Mukachevo,48.4411626,22.7244852969106
Oleksandriia,48.67596,33.11623
Khrustalnyi,48.1486047,38.8558912548669
Yenakiieve,48.23298435,38.2075522595192
Shostka,51.8646643,33.4916880462133
Berdychiv,49.8940442,28.5814912
Yalta,44.4970713,34.1586871
Bakhmut,48.60083235,37.9940003223644
Kadiyivka,48.5623082,38.6416719
Drohobych,49.3478421,23.5120740098895
Kostiantynivka,48.5316437,37.7162330694706
Nizhyn,51.0464747,31.8806289
Izmail,45.3421228,28.8359886
Novomoskovsk,54.011013,38.290943
Feodosiya,45.0590777,35.3881199
Kovel,51.2120538,24.708894
